"FilePath","Line","Code","Cat","Confirmed"
"lib\main.dart","223","Color primaryColor = const Color(0xFFFF5A7E); // 保底","C1","False"
"lib\components\image_placeholder.dart","12","this.color = const Color(0xFFFF5A7E),","C1","False"
"lib\components\image_placeholder.dart","31","color: Colors.white,","C2","False"
"lib\components\image_placeholder.dart","38","color: Colors.white,","C2","False"
"lib\components\mood_day.dart","19","Text(day, style: const TextStyle(color: Colors.grey, fontSize: 12, fontWeight: FontWeight.w500)),","C2","False"
"lib\components\mood_day.dart","25","color: hasMood ? const Color(0xFFFFD1DC) : Colors.grey[200],","C1","False"
"lib\components\order_card.dart","21","color: isLocked ? Colors.white : Colors.white.withValues(alpha:0.5),","C2","False"
"lib\components\order_card.dart","23","border: Border.all(color: Colors.white),","C2","False"
"lib\components\order_card.dart","27","Icon(isLocked ? Icons.lock_outline : Icons.check_circle, color: const Color(0xFFFFD1DC)),","C1","False"
"lib\components\order_card.dart","38","color: isLocked ? Colors.black87 : Colors.grey,","C2","False"
"lib\components\order_card.dart","41","Text(subtitle, style: const TextStyle(color: Colors.redAccent, fontSize: 11)),","C2","False"
"lib\components\order_card.dart","45","const Icon(Icons.radio_button_unchecked, color: Color(0xFFF2F2F2)),","C1","False"
"lib\pages\main_screen.dart","143","colors: [Color(0xFFFFD2DD), Color(0xFFFFB6C1)],","C1","False"
"lib\pages\main_screen.dart","149","color: Colors.white,","C2","False"
"lib\pages\main_screen.dart","169","selectedItemColor: Theme.of(context).primaryColor,","C3","False"
"lib\pages\vow_page.dart","24","color: isDark ? Colors.grey[400] : Colors.grey,","C4","False"
"lib\pages\vow_page.dart","32","color: isDark ? const Color(0xFF1A1A1A) : Colors.white,","C4","False"
"lib\pages\vow_page.dart","50","color: isDark ? Colors.grey[400] : Colors.grey,","C4","False"
"lib\pages\vow_page.dart","78","color: isDark ? Colors.white : const Color(0xFF4A4A4A)","C4","False"
"lib\pages\vow_page.dart","81","style: TextStyle(color: Theme.of(context).primaryColor)),","C3","False"
"lib\pages\vow_page.dart","91","color: isDark ? Colors.grey[400] : Colors.grey","C4","False"
"lib\pages\vow_page.dart","103","gradient: const LinearGradient(colors: [Color(0xFFFF5A7E), Color(0xFFFF8E9E)]),","C1","False"
"lib\pages\vow_page.dart","113","Text(""REWARDS ACCUMULATOR"", style: TextStyle(color: Colors.white70, fontSize: 10)),","C2","False"
"lib\pages\vow_page.dart","114","Text(""0 Kisses Owed"", style: TextStyle(color: Colors.white, fontSize: 20, fontWeight: FontWeight.bold)),","C2","False"
"lib\pages\vow_page.dart","117","Icon(Icons.favorite, color: Colors.white30, size: 40),","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","23","final primaryPink = const Color(0xFFFF5A7E);","C1","False"
"lib\pages\chat\chat_backup_migrate_page.dart","24","final lightPinkBg = const Color(0xFFFFF0F5);","C1","False"
"lib\pages\chat\chat_backup_migrate_page.dart","25","final cardBg = isDark ? const Color(0xFF1A1A1A) : Colors.white;","C4","False"
"lib\pages\chat\chat_backup_migrate_page.dart","28","backgroundColor: isDark ? const Color(0xFF0A0A0A) : lightPinkBg,","C4","False"
"lib\pages\chat\chat_backup_migrate_page.dart","30","backgroundColor: isDark ? const Color(0xFF111111) : Colors.white,","C4","False"
"lib\pages\chat\chat_backup_migrate_page.dart","34","color: isDark ? Colors.white : Colors.black87),","C4","False"
"lib\pages\chat\chat_backup_migrate_page.dart","40","color: isDark ? Colors.white : Colors.black87,","C4","False"
"lib\pages\chat\chat_backup_migrate_page.dart","61","? Colors.black.withValues(alpha: 0.3)","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","84","color: isDark ? Colors.white : Colors.black87,","C4","False"
"lib\pages\chat\chat_backup_migrate_page.dart","91","color: isDark ? Colors.grey[400] : Colors.grey[600],","C4","False"
"lib\pages\chat\chat_backup_migrate_page.dart","95","size: 16, color: Colors.grey),","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","111","? Colors.black.withValues(alpha: 0.2)","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","112",": Colors.grey.withValues(alpha: 0.1),","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","122","color: Colors.grey.withValues(alpha: 0.12),","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","126","color: Colors.grey, size: 28),","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","133","color: isDark ? Colors.grey[400] : Colors.grey[700],","C4","False"
"lib\pages\chat\chat_backup_migrate_page.dart","138","style: TextStyle(fontSize: 13, color: Colors.grey),","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","141","size: 16, color: Colors.grey),","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","155","? Colors.black.withValues(alpha: 0.4)","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","156",": Colors.grey.withValues(alpha: 0.12),","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","170","color: isDark ? Colors.white : primaryPink,","C4","False"
"lib\pages\chat\chat_backup_migrate_page.dart","182","color: isDark ? Colors.grey[400] : Colors.grey[700],","C4","False"
"lib\pages\chat\chat_backup_migrate_page.dart","312","backgroundColor: isDark ? const Color(0xFF1A1A1A) : Colors.white,","C4","False"
"lib\pages\chat\chat_backup_migrate_page.dart","315","icon: const Icon(Icons.warning_rounded, color: Colors.orange),","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","334","TextStyle(fontSize: 14, color: Colors.orange), // 调整为14px","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","366","color: Colors.white,","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","370","color: Colors.black.withValues(alpha: 0.1),","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","386","color: const Color(0xFFFF5A7E),","C1","False"
"lib\pages\chat\chat_backup_migrate_page.dart","393","color: Colors.black87,","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","406","color: Colors.black54,","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","416","color: Colors.grey,","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","439","backgroundColor: const Color(0xFFF5F5F5),","C1","False"
"lib\pages\chat\chat_backup_migrate_page.dart","448","color: Colors.blue,","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","456","backgroundColor: Colors.transparent,","C2","False"
"lib\pages\chat\chat_backup_migrate_page.dart","477","backgroundColor: Colors.red,","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","107","SnackBar(content: Text('操作失败: $e'), backgroundColor: Colors.red),","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","142","backgroundColor: Colors.red),","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","155","color: Colors.transparent,","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","182","color: Colors.black54,","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","187","CircularProgressIndicator(color: Colors.white)),","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","255","TextStyle(color: Colors.red, fontWeight: FontWeight.bold),","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","261","color: Colors.transparent,","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","333","thumbColor: const WidgetStatePropertyAll(Colors.white),","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","340","trackOutlineColor: const WidgetStatePropertyAll(Colors.transparent),","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","350","color: Colors.transparent,","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","463","color: Colors.transparent,","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","531","color: Colors.white, strokeWidth: 3),","C2","False"
"lib\pages\chat\chat_character_edit_page.dart","537","color: Colors.white,","C2","False"
"lib\pages\chat\chat_components.dart","43","backgroundColor: Colors.transparent,","C2","False"
"lib\pages\chat\chat_components.dart","166","backgroundColor: Colors.transparent,","C2","False"
"lib\pages\chat\chat_list_page.dart","21","backgroundColor: isDark ? const Color(0xFF0A0A0A) : Colors.white,","C4","False"
"lib\pages\chat\chat_list_page.dart","26","color: isDark ? Colors.white : const Color(0xFF4A4A4A),","C4","False"
"lib\pages\chat\chat_list_page.dart","32","Icon(Icons.search, color: Theme.of(context).primaryColor),","C3","False"
"lib\pages\chat\chat_list_page.dart","59","backgroundColor: Theme.of(context).primaryColor,","C3","False"
"lib\pages\chat\chat_list_page.dart","66","color: Colors.white,","C2","False"
"lib\pages\chat\chat_list_page.dart","83","color: isDark ? Colors.grey[400] : Colors.grey),","C4","False"
"lib\pages\chat\chat_list_page.dart","99","color: isDark ? Colors.grey[400] : Colors.grey,","C4","False"
"lib\pages\chat\chat_list_page.dart","106","backgroundColor: Theme.of(context).primaryColor,","C3","False"
"lib\pages\chat\chat_list_page.dart","118","color: isDark ? Colors.grey[800] : Colors.grey[200],","C4","False"
"lib\pages\chat\chat_list_page.dart","130","color: Theme.of(context).colorScheme.error,","C3","False"
"lib\pages\chat\chat_room_page.dart","1154","color: Colors.white, size: 18),","C2","False"
"lib\pages\chat\chat_room_page.dart","1172","backgroundColor: Colors.transparent,","C2","False"
"lib\pages\chat\chat_room_page.dart","1230","color: Colors.white,","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","21","backgroundColor: const Color(0xFFFF5A7E),","C1","False"
"lib\pages\diary\diary_bookshelf_page.dart","25","color: Colors.white,","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","34","icon: const Icon(Icons.refresh, color: Colors.white),","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","48","child: CircularProgressIndicator(color: Color(0xFFFF5A7E)),","C1","False"
"lib\pages\diary\diary_bookshelf_page.dart","56","const Icon(Icons.error_outline, size: 80, color: Colors.red),","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","68","style: const TextStyle(color: Colors.grey),","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","76","backgroundColor: const Color(0xFFFF5A7E),","C1","False"
"lib\pages\diary\diary_bookshelf_page.dart","77","foregroundColor: Colors.white,","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","87","backgroundColor: const Color(0xFFFF5A7E),","C1","False"
"lib\pages\diary\diary_bookshelf_page.dart","88","foregroundColor: Colors.white,","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","112","Icon(Icons.menu_book_outlined, size: 120, color: Colors.grey[400]),","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","116","style: TextStyle(fontSize: 22, color: Colors.grey[700], fontWeight: FontWeight.w500),","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","121","style: TextStyle(fontSize: 16, color: Colors.grey[600]),","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","128","backgroundColor: const Color(0xFFFF5A7E),","C1","False"
"lib\pages\diary\diary_bookshelf_page.dart","129","foregroundColor: Colors.white,","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","182","border: Border.all(color: Colors.black, width: 3),","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","185","BoxShadow(color: Colors.black26, blurRadius: 10, offset: Offset(4, 6)),","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","214","if (hex == null || hex.isEmpty) return const Color(0xFFBAE1FF);","C1","False"
"lib\pages\diary\diary_bookshelf_page.dart","238","color: Colors.white,","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","240","shadows: [Shadow(blurRadius: 6, color: Colors.black45, offset: Offset(2, 2))],","C2","False"
"lib\pages\diary\diary_bookshelf_page.dart","246","style: const TextStyle(fontSize: 18, color: Colors.white70),","C2","False"
"lib\pages\diary\diary_detail_page.dart","30","style: TextStyle(color: Colors.red),","C2","False"
"lib\pages\diary\diary_detail_page.dart","50","backgroundColor: const Color(0xFFFF5A7E),","C1","False"
"lib\pages\diary\diary_detail_page.dart","54","color: Colors.white,","C2","False"
"lib\pages\diary\diary_detail_page.dart","62","icon: const Icon(Icons.edit, color: Colors.white),","C2","False"
"lib\pages\diary\diary_detail_page.dart","74","icon: const Icon(Icons.delete_outline, color: Colors.white),","C2","False"
"lib\pages\diary\diary_detail_page.dart","93","color: Colors.grey,","C2","False"
"lib\pages\diary\diary_detail_page.dart","102","color: Colors.grey,","C2","False"
"lib\pages\diary\diary_detail_page.dart","108","color: Colors.grey,","C2","False"
"lib\pages\diary\diary_detail_page.dart","116","color: Colors.grey,","C2","False"
"lib\pages\diary\diary_detail_page.dart","145",": const Color(0xFFBAE1FF);","C1","False"
"lib\pages\diary\diary_detail_page.dart","148",": const Color(0xFFFFB3BA);","C1","False"
"lib\pages\diary\diary_detail_page.dart","155","border: Border.all(color: Colors.grey[300]!, width: 1),","C2","False"
"lib\pages\diary\diary_detail_page.dart","158","color: Colors.grey.withValues(alpha: 0.3),","C2","False"
"lib\pages\diary\diary_detail_page.dart","184","color: Colors.white,","C2","False"
"lib\pages\diary\diary_detail_page.dart","189","color: Colors.black38,","C2","False"
"lib\pages\diary\diary_editor_page.dart","73","backgroundColor: Colors.orange,","C2","False"
"lib\pages\diary\diary_editor_page.dart","106","backgroundColor: const Color(0xFF4CAF50),","C1","False"
"lib\pages\diary\diary_editor_page.dart","119","backgroundColor: Colors.red,","C2","False"
"lib\pages\diary\diary_editor_page.dart","136","backgroundColor: const Color(0xFFFF5A7E),","C1","False"
"lib\pages\diary\diary_editor_page.dart","140","color: Colors.white,","C2","False"
"lib\pages\diary\diary_editor_page.dart","157","color: Colors.white,","C2","False"
"lib\pages\diary\diary_editor_page.dart","164","icon: const Icon(Icons.save, color: Colors.white),","C2","False"
"lib\pages\diary\diary_editor_page.dart","177","color: Colors.white,","C2","False"
"lib\pages\diary\diary_editor_page.dart","179","border: Border.all(color: Colors.grey[300]!),","C2","False"
"lib\pages\diary\diary_editor_page.dart","193","hintStyle: TextStyle(color: Colors.grey),","C2","False"
"lib\pages\diary\diary_editor_page.dart","208","backgroundColor: const Color(0xFFFF5A7E),","C1","False"
"lib\pages\diary\diary_editor_page.dart","209","foregroundColor: Colors.white,","C2","False"
"lib\pages\diary\diary_editor_page.dart","222","color: Colors.white,","C2","False"
"lib\pages\entrance\entrance_main_page.dart","18","color: isDark ? const Color(0xFF1A1A1A) : const Color(0xFFFFE4E9),","C4","False"
"lib\pages\entrance\entrance_main_page.dart","24","Icon(Icons.search, color: isDark ? Colors.grey[400] : Colors.white70, size: 28),","C4","False"
